Respondent_ID,Age,Gender,Household_Size,Monthly_Income_BDT,Monthly_Spending_BDT
1,35,Male,4,110000,84000
2,29,Female,3,82000,58000
3,50,Female,2,81000,62000
4,56,Female,2,75000,67000
5,26,Female,5,108000,99500
6,44,Male,2,64000,28000
7,26,Male,4,129000,63000
8,34,Male,7,107000,72000
9,31,Female,5,101000,70000
10,40,Female,3,104000,39500
11,26,Male,3,71000,38000
12,36,Female,3,53000,40500
13,31,Female,5,78000,43500
14,38,Female,4,56000,45000
15,33,Female,5,76000,69000
16,43,Female,2,68000,53000
17,38,Male,4,76000,68500
18,29,Male,4,50000,40000
19,55,Female,6,74000,65000
20,53,Male,3,79000,49500
21,38,Female,4,83000,50500
22,24,Male,6,55000,55000
23,51,Female,6,96000,88000
24,37,Male,7,87000,61500
25,58,Male,4,106000,75500
26,49,Male,4,55000,50000
27,24,Male,6,139000,104000
28,34,Female,4,120000,71500
29,49,Male,2,81000,44500
30,50,Female,2,75000,55500
31,28,Male,4,52000,45500
32,27,Male,6,64000,60000
33,58,Female,2,92000,72000
34,53,Male,4,67000,35500
35,24,Male,6,45000,44000
