participant_id,gender,gpa,study_hours,social_media,sleep_hours
1,Male,2.83,11.4,2.9,6.4
2,Female,2.53,12.5,5.9,7.1
3,Female,2.19,4.0,1.6,7.8
4,Male,2.67,23.8,5.2,7.1
5,Female,2.67,9.2,1.6,6.8
6,Female,2.85,18.7,5.6,6.5
7,Female,2.92,20.2,4.3,7.5
8,Male,3.19,13.1,1.7,7.3
9,Male,2.41,11.3,3.1,6.5
10,Male,2.43,13.9,7.2,6.5
11,Female,3.03,20.8,3.3,7.6
12,Male,2.65,8.7,4.7,7.3
13,Male,2.63,18.6,4.3,6.5
14,Female,3.38,25.3,4.2,6.3
15,Female,3.09,13.1,1.3,6.4
16,Male,2.61,10.3,3.5,5.8
17,Female,2.61,14.2,4.0,7.5
18,Female,2.74,17.7,4.4,5.4
19,Male,2.52,19.6,3.2,6.5
20,Male,2.73,22.1,6.0,5.0
21,Male,2.73,9.2,2.9,6.2
22,Female,2.44,6.2,2.5,7.5
23,Male,2.79,19.3,4.7,6.7
24,Male,3.19,14.2,2.1,7.5
25,Female,2.6,8.0,3.9,7.6
26,Female,3.21,21.0,5.9,6.7
27,Female,2.83,16.6,3.3,6.3
28,Female,2.91,24.2,4.7,6.6
29,Male,3.39,21.8,2.3,6.3
30,Male,3.51,18.5,1.9,7.3
31,Female,3.24,12.8,1.4,7.3
32,Female,2.85,11.1,2.6,6.4
33,Male,2.15,4.1,2.9,8.3
34,Male,2.86,7.9,4.6,8.6
35,Female,3.36,19.3,2.1,8.0
